age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
34,male,9,Instagram,Travel,United States,Rural,Marketer Manager,19197,yes,no,no
53,male,5,Facebook,Sports,United States,Sub_Urban,Software Engineer,15820,no,yes,yes
57,male,4,Instagram,Travel,United Kingdom,Urban,Software Engineer,13052,yes,no,no
21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,17397,no,no,no
19,non-binary,7,Facebook,Sports,Australia,Urban,Software Engineer,12302,no,yes,yes
23,female,3,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,12283,no,no,yes
59,female,6,Instagram,Lifestlye,Australia,Sub_Urban,Student,19799,no,yes,no
21,male,5,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,14366,no,no,yes
46,non-binary,5,YouTube,Travel,United States,Urban,Student,10122,yes,no,yes
35,non-binary,5,YouTube,Travel,Australia,Rural,Student,16799,no,no,yes
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,19472,no,no,no
61,female,1,Instagram,Travel,Australia,Sub_Urban,Software Engineer,13727,yes,no,no
51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,18450,no,no,yes
27,non-binary,4,Facebook,Travel,United States,Rural,Student,19139,no,no,yes
53,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,14958,yes,yes,yes
31,non-binary,2,Facebook,Sports,Australia,Urban,Student,10524,yes,yes,no
48,female,8,YouTube,Lifestlye,Australia,Urban,Software Engineer,19079,no,yes,yes
32,non-binary,2,YouTube,Travel,United States,Sub_Urban,Student,18399,yes,yes,yes
25,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10148,no,no,no
31,male,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,18001,yes,no,yes
40,male,9,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,10437,no,no,no
57,female,7,Facebook,Lifestlye,United States,Sub_Urban,Software Engineer,13749,no,yes,no
38,non-binary,8,Facebook,Sports,United Kingdom,Urban,Marketer Manager,18186,no,yes,no
33,non-binary,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,14453,yes,yes,yes
62,male,7,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,15336,no,no,yes
35,female,6,Facebook,Sports,United States,Sub_Urban,Software Engineer,14551,yes,yes,no
64,male,4,Instagram,Travel,United Kingdom,Urban,Marketer Manager,12823,no,no,yes
41,male,7,Instagram,Sports,United Kingdom,Urban,Software Engineer,15728,no,yes,no
43,male,4,Facebook,Sports,Australia,Rural,Student,18677,no,no,yes
42,male,2,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,18391,no,yes,no
62,non-binary,7,YouTube,Sports,Australia,Rural,Software Engineer,11982,no,no,no
58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16996,yes,yes,yes
46,male,2,Facebook,Sports,United States,Rural,Student,19663,yes,yes,yes
32,female,5,Instagram,Sports,Australia,Rural,Software Engineer,12311,yes,no,yes
62,female,1,Instagram,Lifestlye,Australia,Rural,Software Engineer,17225,no,no,yes
18,female,7,Instagram,Travel,United States,Sub_Urban,Software Engineer,19713,no,yes,no
42,female,8,Instagram,Lifestlye,Australia,Urban,Student,10604,yes,no,no
24,male,6,Instagram,Lifestlye,United States,Sub_Urban,Student,18175,no,yes,yes
26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban,Student,15785,no,no,yes
41,female,6,Facebook,Travel,United States,Rural,Software Engineer,19609,no,yes,no
18,male,2,YouTube,Sports,Australia,Rural,Student,14597,yes,no,yes
61,female,1,Instagram,Lifestlye,United States,Rural,Marketer Manager,17759,yes,yes,yes
25,female,7,Instagram,Lifestlye,Australia,Rural,Student,17532,yes,yes,yes
41,male,7,Instagram,Travel,United Kingdom,Rural,Software Engineer,18740,yes,yes,yes
28,non-binary,2,Instagram,Lifestlye,United States,Urban,Marketer Manager,10838,yes,no,no
34,non-binary,2,Facebook,Sports,United Kingdom,Urban,Student,13815,no,yes,no
25,male,1,Instagram,Travel,Australia,Rural,Marketer Manager,10847,no,no,yes
52,non-binary,8,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14709,no,no,no
52,male,8,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,14507,no,no,yes
50,male,1,Facebook,Travel,United States,Rural,Marketer Manager,16575,yes,yes,yes
22,male,8,YouTube,Lifestlye,United States,Urban,Marketer Manager,14773,yes,no,yes
59,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,14468,no,no,no
56,male,4,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,15192,yes,no,no
58,female,1,YouTube,Sports,United Kingdom,Sub_Urban,Software Engineer,13320,no,yes,no
45,non-binary,1,Instagram,Sports,United States,Rural,Marketer Manager,14698,no,no,no
24,non-binary,3,Instagram,Travel,United States,Sub_Urban,Marketer Manager,14311,no,no,no
26,non-binary,5,Instagram,Travel,United States,Sub_Urban,Marketer Manager,13673,no,no,yes
25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,11564,yes,no,yes
29,female,9,Facebook,Lifestlye,United States,Sub_Urban,Student,11840,no,yes,no
51,non-binary,2,YouTube,Sports,United States,Urban,Marketer Manager,16058,yes,yes,no
50,non-binary,2,Facebook,Lifestlye,Australia,Rural,Student,17131,no,no,no
40,male,6,Facebook,Sports,United States,Rural,Software Engineer,10726,no,no,yes
41,non-binary,9,Instagram,Lifestlye,United States,Urban,Marketer Manager,19436,no,no,no
54,female,1,Instagram,Sports,United Kingdom,Urban,Student,16697,no,no,yes
52,female,9,Instagram,Lifestlye,United Kingdom,Rural,Marketer Manager,19257,yes,yes,yes
61,female,9,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10282,no,yes,no
57,female,9,Instagram,Sports,United States,Sub_Urban,Marketer Manager,11081,yes,yes,yes
39,non-binary,5,Instagram,Lifestlye,Australia,Rural,Student,13885,no,yes,yes
44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,12881,no,no,no
52,female,4,YouTube,Lifestlye,Australia,Urban,Marketer Manager,12970,no,no,yes
18,female,2,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,19344,yes,yes,no
52,non-binary,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16985,no,yes,yes
54,female,4,YouTube,Lifestlye,Australia,Sub_Urban,Student,10947,no,no,no
64,male,6,Instagram,Lifestlye,United States,Rural,Student,14760,no,no,no
31,female,3,YouTube,Lifestlye,Australia,Urban,Software Engineer,19909,no,no,yes
20,female,6,Instagram,Travel,United States,Sub_Urban,Marketer Manager,10066,no,no,no
18,male,2,YouTube,Travel,United States,Rural,Student,18828,yes,no,yes
22,male,2,Facebook,Sports,United States,Sub_Urban,Marketer Manager,18505,yes,yes,yes
43,non-binary,9,YouTube,Travel,United States,Urban,Marketer Manager,10564,no,yes,no
31,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,19793,no,no,yes
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19017,yes,no,no
44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,13670,no,yes,yes
26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,19217,yes,no,yes
32,female,6,Instagram,Sports,Australia,Sub_Urban,Software Engineer,12251,no,yes,no
32,male,7,Instagram,Lifestlye,United States,Urban,Marketer Manager,10804,no,yes,yes
43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,14631,yes,yes,yes
59,female,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,19583,no,yes,yes
30,male,1,Instagram,Sports,United States,Rural,Marketer Manager,11235,yes,no,yes
49,female,7,Instagram,Sports,United Kingdom,Rural,Software Engineer,16720,yes,no,yes
56,non-binary,5,Instagram,Lifestlye,United States,Urban,Marketer Manager,16906,yes,yes,yes
49,male,3,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,16016,no,no,yes
21,female,9,Instagram,Sports,United Kingdom,Urban,Software Engineer,13549,yes,no,yes
47,male,1,Facebook,Sports,United Kingdom,Rural,Student,17938,yes,no,no
54,female,1,YouTube,Lifestlye,United States,Urban,Student,14141,no,no,yes
40,non-binary,1,Facebook,Travel,Australia,Urban,Software Engineer,16966,no,yes,yes
56,non-binary,3,Instagram,Sports,United States,Rural,Student,19546,no,no,no
62,male,6,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,15335,no,yes,no
32,female,3,YouTube,Lifestlye,United States,Urban,Marketer Manager,15077,no,yes,no
60,male,8,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15611,no,no,yes
46,male,2,YouTube,Lifestlye,United States,Sub_Urban,Student,18089,yes,yes,no
53,female,9,Facebook,Lifestlye,Australia,Rural,Marketer Manager,12892,no,no,no
30,female,3,Instagram,Travel,Australia,Urban,Student,15577,yes,no,yes
49,female,5,YouTube,Sports,United States,Sub_Urban,Student,13618,no,yes,yes
24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11559,yes,no,no
39,male,2,Instagram,Lifestlye,Australia,Rural,Marketer Manager,16683,yes,yes,no
45,male,6,YouTube,Travel,United States,Rural,Student,11507,no,yes,yes
19,non-binary,5,Facebook,Travel,Australia,Rural,Marketer Manager,12063,no,no,yes
59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,13642,yes,no,yes
62,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,12000,no,no,yes
23,non-binary,2,Facebook,Sports,United States,Urban,Marketer Manager,11294,no,yes,yes
45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,14065,yes,no,no
45,male,4,YouTube,Travel,United Kingdom,Urban,Marketer Manager,18014,yes,yes,yes
61,non-binary,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,19945,yes,yes,yes
61,male,6,Instagram,Lifestlye,United States,Rural,Student,11603,no,no,yes
37,male,2,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,11322,no,no,yes
47,male,5,YouTube,Lifestlye,Australia,Rural,Marketer Manager,15956,no,no,yes
28,female,7,Instagram,Lifestlye,United Kingdom,Rural,Software Engineer,12441,no,yes,no
45,male,7,Instagram,Lifestlye,United States,Sub_Urban,Student,11098,yes,no,yes
42,male,5,Facebook,Travel,Australia,Urban,Student,15073,no,yes,no
56,female,9,YouTube,Sports,United States,Sub_Urban,Student,19697,yes,no,yes
50,male,4,YouTube,Sports,United States,Urban,Marketer Manager,19318,no,no,no
18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban,Student,18488,no,yes,no
44,non-binary,4,YouTube,Sports,United States,Sub_Urban,Software Engineer,13787,yes,yes,yes
30,male,5,Facebook,Lifestlye,United States,Rural,Student,12096,no,no,yes
58,female,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,12208,no,no,yes
20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,15988,yes,no,yes
56,female,2,Instagram,Sports,United States,Urban,Student,10175,no,no,yes
23,female,4,Facebook,Travel,Australia,Rural,Software Engineer,17169,yes,no,no
25,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,16014,yes,yes,yes
44,female,4,YouTube,Sports,United Kingdom,Urban,Student,11667,yes,yes,yes
26,non-binary,3,YouTube,Sports,Australia,Rural,Student,18867,yes,yes,no
54,female,8,Instagram,Travel,Australia,Rural,Marketer Manager,11823,no,yes,yes
50,non-binary,4,Facebook,Sports,Australia,Rural,Software Engineer,15147,no,no,no
59,male,2,Facebook,Travel,Australia,Sub_Urban,Student,11356,no,yes,yes
61,non-binary,2,Facebook,Lifestlye,Australia,Rural,Software Engineer,13072,yes,yes,no
41,non-binary,1,YouTube,Sports,United States,Rural,Software Engineer,13259,no,yes,yes
32,non-binary,4,Facebook,Travel,United States,Rural,Software Engineer,16199,no,no,no
49,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10546,no,yes,no
49,female,7,Instagram,Sports,United States,Urban,Student,15231,no,no,yes
41,male,7,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,17965,yes,yes,yes
58,non-binary,7,YouTube,Travel,United States,Urban,Marketer Manager,12083,yes,no,yes
29,female,8,Facebook,Sports,Australia,Sub_Urban,Software Engineer,12040,no,yes,no
56,male,1,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,14534,yes,no,no
19,male,8,Instagram,Travel,United Kingdom,Rural,Software Engineer,11752,no,yes,no
20,male,4,Facebook,Travel,United Kingdom,Urban,Software Engineer,19807,no,no,yes
54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,11849,no,no,yes
34,non-binary,4,Facebook,Lifestlye,United States,Urban,Student,12642,yes,yes,no
19,non-binary,6,YouTube,Sports,United States,Rural,Marketer Manager,11600,no,no,yes
19,female,7,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14402,yes,no,no
45,female,6,Facebook,Travel,United Kingdom,Rural,Software Engineer,13799,yes,yes,yes
40,female,1,Instagram,Lifestlye,United States,Rural,Student,10618,no,yes,yes
54,male,8,Instagram,Lifestlye,United States,Sub_Urban,Student,11132,yes,no,no
49,male,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15491,yes,yes,yes
50,non-binary,6,YouTube,Travel,Australia,Rural,Student,15795,no,yes,yes
18,male,6,YouTube,Lifestlye,Australia,Urban,Marketer Manager,17633,yes,yes,yes
36,male,5,Instagram,Lifestlye,United States,Rural,Marketer Manager,11487,yes,no,yes
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,17848,no,no,yes
61,female,9,Instagram,Sports,Australia,Rural,Student,15009,no,no,no
43,female,9,YouTube,Sports,United Kingdom,Rural,Marketer Manager,19749,yes,no,yes
49,non-binary,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,12113,no,no,no
23,male,9,Instagram,Lifestlye,Australia,Urban,Software Engineer,11044,no,no,yes
49,male,8,Instagram,Travel,Australia,Rural,Marketer Manager,12431,yes,no,yes
21,non-binary,8,Facebook,Sports,Australia,Rural,Marketer Manager,17979,yes,yes,no
28,male,1,Instagram,Sports,United States,Sub_Urban,Software Engineer,11582,no,no,no
34,male,5,YouTube,Travel,United Kingdom,Rural,Software Engineer,11308,yes,no,yes
55,female,4,YouTube,Travel,Australia,Sub_Urban,Student,14917,no,yes,yes
41,non-binary,2,Instagram,Sports,United Kingdom,Urban,Marketer Manager,18793,no,yes,no
22,non-binary,8,YouTube,Travel,United Kingdom,Urban,Student,11620,yes,yes,no
51,non-binary,3,Instagram,Sports,United Kingdom,Rural,Student,17503,yes,no,no
23,non-binary,4,Facebook,Travel,Australia,Rural,Software Engineer,14766,no,yes,no
39,female,7,Instagram,Travel,United States,Rural,Student,15362,no,no,yes
28,female,9,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,15192,no,no,yes
33,male,2,YouTube,Sports,United Kingdom,Rural,Software Engineer,16622,no,no,yes
50,male,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,16093,yes,yes,yes
26,male,4,YouTube,Sports,United States,Urban,Marketer Manager,16704,no,yes,yes
23,male,1,Instagram,Sports,Australia,Rural,Software Engineer,10100,yes,no,no
33,female,7,YouTube,Travel,United Kingdom,Urban,Marketer Manager,16657,yes,no,no
46,non-binary,2,Instagram,Travel,United States,Rural,Software Engineer,15875,no,no,no
20,female,5,Instagram,Sports,United Kingdom,Urban,Marketer Manager,14271,yes,yes,yes
37,male,1,Facebook,Sports,United States,Rural,Software Engineer,10237,yes,no,no
53,female,3,Facebook,Lifestlye,United States,Urban,Student,17226,no,yes,yes
36,non-binary,2,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,18032,yes,no,yes
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,15218,yes,yes,yes
20,female,7,YouTube,Lifestlye,Australia,Urban,Marketer Manager,14025,no,no,no
36,female,5,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,16073,no,yes,yes
37,female,1,YouTube,Travel,Australia,Rural,Marketer Manager,12542,no,yes,yes
49,male,6,Instagram,Travel,United Kingdom,Rural,Software Engineer,11537,no,yes,no
24,female,5,YouTube,Sports,Australia,Rural,Student,10754,no,yes,yes
58,female,3,YouTube,Lifestlye,United States,Sub_Urban,Student,17396,no,yes,no
50,female,7,YouTube,Travel,United Kingdom,Sub_Urban,Student,17823,no,yes,yes
57,non-binary,9,Facebook,Travel,United Kingdom,Urban,Software Engineer,15507,yes,no,no
56,non-binary,9,YouTube,Travel,United States,Sub_Urban,Student,14235,yes,no,yes
35,male,9,Instagram,Travel,Australia,Urban,Software Engineer,10540,no,no,yes
57,male,2,Facebook,Travel,United Kingdom,Urban,Marketer Manager,15510,yes,no,no
18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban,Marketer Manager,18461,yes,yes,yes
28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Student,17926,no,no,no
45,non-binary,5,Facebook,Lifestlye,United States,Rural,Software Engineer,15131,yes,yes,yes
42,female,2,Instagram,Lifestlye,Australia,Sub_Urban,Marketer Manager,18697,no,yes,no
40,female,3,YouTube,Sports,Australia,Urban,Software Engineer,11129,yes,yes,yes
48,non-binary,6,Instagram,Lifestlye,Australia,Urban,Software Engineer,13145,no,no,yes
47,female,7,Instagram,Travel,United Kingdom,Sub_Urban,Marketer Manager,18553,yes,yes,yes
59,female,9,Instagram,Lifestlye,United States,Urban,Software Engineer,13720,yes,no,no
52,male,1,YouTube,Sports,United States,Urban,Marketer Manager,19648,yes,no,no
24,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,14067,no,no,no
33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,14195,yes,no,no
43,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,19873,yes,no,no
19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,19244,no,yes,yes
18,male,6,YouTube,Travel,United Kingdom,Urban,Software Engineer,17281,no,yes,yes
29,male,7,YouTube,Travel,United Kingdom,Rural,Marketer Manager,12509,yes,no,yes
22,male,4,YouTube,Sports,United Kingdom,Rural,Marketer Manager,15016,yes,yes,yes
54,non-binary,8,YouTube,Travel,United States,Sub_Urban,Student,16533,yes,no,yes
49,non-binary,5,YouTube,Travel,United Kingdom,Rural,Student,14727,yes,yes,no
26,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,10681,no,yes,yes
58,non-binary,4,YouTube,Travel,Australia,Rural,Software Engineer,13932,yes,yes,no
52,non-binary,3,Instagram,Lifestlye,Australia,Urban,Software Engineer,15560,yes,yes,yes
36,male,9,Instagram,Lifestlye,United States,Sub_Urban,Marketer Manager,14016,no,yes,no
33,female,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,17339,yes,yes,no
20,male,1,Instagram,Sports,United Kingdom,Urban,Marketer Manager,10719,yes,yes,no
37,non-binary,6,Facebook,Sports,Australia,Rural,Marketer Manager,10074,yes,yes,yes
41,male,9,Facebook,Travel,United States,Sub_Urban,Software Engineer,19485,no,yes,yes
50,non-binary,7,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,14157,no,yes,yes
41,non-binary,4,YouTube,Lifestlye,Australia,Rural,Marketer Manager,18511,yes,yes,yes
28,male,1,Instagram,Lifestlye,United States,Rural,Student,12149,yes,yes,no
25,non-binary,2,Instagram,Travel,United States,Urban,Marketer Manager,19644,no,yes,no
53,female,5,Facebook,Sports,United Kingdom,Rural,Marketer Manager,19747,yes,no,no
55,non-binary,5,Instagram,Sports,Australia,Rural,Marketer Manager,16713,yes,yes,no
57,female,8,Facebook,Lifestlye,United Kingdom,Rural,Software Engineer,14207,no,yes,yes
37,female,6,YouTube,Travel,Australia,Urban,Student,17141,no,yes,no
52,non-binary,8,YouTube,Sports,Australia,Urban,Marketer Manager,18652,no,yes,yes
42,male,2,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,19078,yes,yes,no
52,female,3,Instagram,Sports,Australia,Urban,Student,13936,yes,yes,no
42,male,6,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,19307,yes,no,no
46,female,3,YouTube,Lifestlye,Australia,Rural,Software Engineer,11075,yes,no,yes
35,non-binary,6,Facebook,Travel,United States,Sub_Urban,Marketer Manager,13876,no,no,yes
63,non-binary,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,14615,yes,yes,no
35,female,2,YouTube,Sports,United States,Rural,Software Engineer,17265,yes,yes,no
19,non-binary,7,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,16379,no,yes,no
52,female,2,Facebook,Travel,United Kingdom,Urban,Student,19118,no,no,yes
33,non-binary,6,YouTube,Travel,Australia,Urban,Software Engineer,14652,yes,yes,yes
58,male,1,Facebook,Travel,United Kingdom,Urban,Student,16792,no,yes,yes
53,non-binary,3,Facebook,Sports,United States,Urban,Marketer Manager,19247,no,no,no
50,male,2,YouTube,Sports,United States,Sub_Urban,Software Engineer,17456,yes,no,yes
21,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,14674,yes,yes,no
50,male,4,YouTube,Sports,United Kingdom,Rural,Student,10541,yes,yes,yes
31,non-binary,8,Instagram,Sports,United States,Sub_Urban,Marketer Manager,12161,yes,yes,no
38,male,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,12251,no,yes,no
37,female,4,Facebook,Sports,United States,Sub_Urban,Software Engineer,19244,no,no,yes
25,female,5,Instagram,Sports,United States,Rural,Marketer Manager,14569,yes,yes,no
24,male,9,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,12744,yes,yes,no
20,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,16041,no,no,no
34,male,9,Instagram,Travel,Australia,Rural,Software Engineer,14675,yes,yes,yes
50,non-binary,7,Facebook,Sports,United Kingdom,Rural,Student,11560,yes,yes,no
29,female,1,Instagram,Sports,United Kingdom,Rural,Student,11164,yes,no,yes
39,non-binary,8,YouTube,Travel,United Kingdom,Urban,Marketer Manager,15419,yes,no,yes
39,female,4,YouTube,Travel,Australia,Sub_Urban,Software Engineer,12722,no,yes,no
63,non-binary,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,10470,yes,no,yes
47,non-binary,7,Facebook,Travel,United States,Urban,Student,19608,no,no,no
55,non-binary,3,Instagram,Sports,United States,Rural,Software Engineer,11468,yes,yes,yes
